google	247	google	34.7709852619618
google	250	google search	14.88136497540991
google	249	google drive	13.693944715106221
google	248	google bombing	8.489578680304298
google	433	pagerank	5.556535557103587
google	519	search engine optimization	4.594821797533579
google	326	keyword (internet search)	4.5947217975335795
google	52	bing	2.4557603379796724
google	344	live search	2.44676021993502
google	354	msn search	2.44656021993502
google	357	main page	1.9875847151062225
google	637	web search engine	1.7983824279098066
google	219	facebook	1.3264214014967552
google	360	mass surveillance	1.2983235357450433
google	225	filter bubble	1.2002955639259112
google	596	us congress	1.1981322909263175
google	345	local search (internet)	1.000902516153343
google	408	number theory	0.9986505464579694
google	373	microsoft	0.9875409539737579
google	653	yahoo!	0.9689364507220094
google	369	meta tags	0.9495842100557174
google	45	baidu	0.917830918660342
google	343	list of search engines	0.9008672432332907
google	465	python (programming language)	0.8988681833635723
google	655	yandex	0.8583302101006608
google	228	forestle	0.8013163260484717
google	252	gopher (protocol)	0.7993135223375056
google	194	duckduckgo	0.7517698636210739
google	518	search engine marketing	0.7506647869781597
google	619	volunia	0.7022951901366732
google	130	cuil	0.7009140157698264
google	567	surveillance	0.6998460066329116
google	62	british petroleum	0.6993095701851487
google	305	internet search engines and libraries	0.6991395153610227
google	204	europe	0.6723425203987693
google	533	social search	0.6509588988571716
google	644	wikia search	0.6505586380087168
google	59	boolean algebra	0.5998302896483282
google	268	ibm	0.5724489476308441
google	98	comparison of web search engines	0.5531415496385965
google	313	java (programming language)	0.549753433806601
google	339	linkrot	0.5002896924817881
google	22	alvin weinberg	0.5000857315801096
google	446	power transformer	0.4994503877371039
google	648	world wide web	0.4614666987276966
google	492	robots.txt	0.4582661763930273
google	4	aol	0.454999051853067
google	493	robots exclusion standard	0.45036510726308526
google	5	aol search	0.4495990263337496
google	647	wolfram alpha	0.40272170266955737
google	565	supreme court of the united states	0.3997511823710945
google	438	people's republic of china	0.3996390094494306
google	361	massachusetts institute of technology	0.3564560345152903
google	336	leapfish	0.3507792543553693
google	57	blekko	0.3507526022152995
google	539	software release life cycle	0.3502990196257486
google	473	r (programming language)	0.34994040616313304
google	379	montreal	0.3126507944013767
google	584	tim berners-lee	0.31070718451667856
google	73	cancer	0.3086728596632961
google	427	organic search	0.30228211770362506
google	351	mit	0.3020458429142812
google	251	google effect	0.3013796303604598
google	421	operating system	0.3001983407098585
google	35	ask.com	0.25392101528074257
google	419	open directory project	0.25329680418363504
google	19	alltheweb	0.25208004724266775
google	56	blackle.com	0.2518811511649227
google	508	scalability	0.2511570816626703
google	461	proximity search (text)	0.25086813872485736
google	172	desktop search	0.25078271909823846
google	525	semantic search	0.25055099863112673
google	447	powerset (company)	0.2503871247447767
google	613	video search engine	0.25015195711870875
google	485	representational state transfer	0.20834996709561243
google	420	open drive	0.20715744237894976
google	654	yahoo! search	0.20193492143359526
google	266	human rights	0.20183462464518315
google	656	yebol	0.2010341403935788
google	466	quaero	0.2009361809042681
google	123	contextual advertising	0.20079795711535492
google	513	search aggregator	0.20077261743696612
google	199	eli pariser	0.20077163306631118
google	209	excite	0.20072113226349753
google	87	cloud storage	0.20063745987136114
google	625	web crawler	0.20030045584696324
google	363	mathematics	0.20029176716028377
google	356	magellan (search engine)	0.200220849560004
google	399	natural language search engine	0.20020268013006987
google	546	spell checker	0.2001934762023244
google	23	analysis of algorithms	0.20017991805825203
google	296	initial public offering	0.20014111784327038
google	276	index (search engine)	0.20004468311262122
google	517	search engine indexing	0.20004468311262122
google	226	first amendment to the united states constitution	0.20004099764456496
google	626	web crawling	0.20000045584696324
google	257	html	0.19704272535469974
google	192	dracula	0.16209226126144746
google	61	bram stoker	0.1554378935591201
google	21	altavista	0.15255604267888548
google	15	alan emtage	0.15094779696818075
google	165	daum communications	0.15067675662871385
google	635	web robot	0.1506626812079174
google	453	principle of least astonishment	0.15065435796336535
google	12	advertising	0.15063864769049215
google	311	jhepwork	0.15048767010958045
google	7	academic journal	0.15039272331977485
google	79	censorship	0.15030534236798365
google	309	j. c. r. licklider	0.1502088465966969
google	428	orthogonality	0.1501974810636693
google	337	learning to rank	0.1501863957784914
google	299	insulator (electrical)	0.1501450143314429
google	621	wearable computer	0.15013696072916083
google	287	information overload	0.15012936312936617
google	190	dot-com bubble	0.15012493478371725
google	497	russian federation	0.15010801426745268
google	294	information theory	0.15009464548365012
google	112	computer graphics	0.15008513351626435
google	452	preservation (library and archival science)	0.15005402318061317
google	241	geographic information systems	0.15005278090315954
google	170	deepwater horizon oil spill	0.15000595705198472
google	402	netscape	0.10353887895185554
google	608	vannevar bush	0.10201942527630233
google	74	carnegie mellon university	0.10132530775895235
google	618	voice search	0.10124078447038434
google	293	information technology	0.10120055640364503
google	538	software engineering	0.10106132878176358
google	364	mcgill university	0.10100730504240592
google	28	archie comics	0.10095252320929081
google	624	web cache	0.10093114367765106
google	208	exalead	0.10090543582694321
google	636	web scraping	0.10084108727197699
google	401	naver	0.10080181625325065
google	434	paid inclusion	0.1007990008205082
google	81	chemicalize.org	0.10075138177288916
google	520	search engine results pages	0.10074478111282316
google	235	general architecture for text engineering	0.10060690831771074
google	48	bibliometrics	0.10052235186771045
google	522	selection-based search	0.10047725681377892
google	511	searchme	0.10047419904001023
google	27	anomaly detection	0.10044901383117695
google	297	inktomi (company)	0.10042630349221737
google	282	information architecture	0.10042000429314621
google	514	search directory	0.10041916326675761
google	627	web directories	0.10041916326675761
google	628	web directory	0.10041916326675761
google	223	federated search	0.10041502063884017
google	487	rexer's annual data miner survey	0.10037165915213354
google	592	true knowledge	0.10035353231052357
